district_code,district_name,census_2001_code,census_2011_code
466,Ahilyanagar,26,522
467,Akola,5,501
468,Amravati,7,503
470,Beed,27,523
471,Bhandara,10,506
472,Buldhana,4,500
473,Chandrapur,13,509
469,Chhatrapati Sambhajinagar,19,515
488,Dharashiv,29,525
474,Dhule,2,498
475,Gadchiroli,12,508
476,Gondia,11,507
477,Hingoli,16,512
478,Jalgaon,3,499
479,Jalna,18,514
480,Kolhapur,34,530
481,Latur,28,524
482,Mumbai,23,519
483,Mumbai Suburban,22,518
484,Nagpur,9,505
485,Nanded,15,511
486,Nandurbar,1,497
487,Nashik,20,516
665,Palghar,,
489,Parbhani,17,513
490,Pune,25,521
491,Raigad,24,520
492,Ratnagiri,32,528
493,Sangli,35,531
494,Satara,31,527
495,Sindhudurg,33,529
496,Solapur,30,526
497,Thane,21,517
498,Wardha,8,504
499,Washim,6,502
500,Yavatmal,14,510
